Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
1,Market year,2019/20,2.2,Million acres,Harvested acres,Barley,Crops
2,Market year,2019/20,2.8,Million acres,Planted acres,Barley,Crops
3,Market year,2019/20,87,Million bushels,Beginning stocks,Barley,Crops
4,Market year,2019/20,80,Million bushels,Ending stocks,Barley,Crops
5,Market year,2019/20,7,Million bushels,Imports,Barley,Crops
6,Market year,2019/20,172,Million bushels,Production,Barley,Crops
7,Market year,2019/20,266,Million bushels,Total supply,Barley,Crops
8,Market year,2019/20,180,Million bushels,Domestic use,Barley,Crops
9,Market year,2019/20,136,Million bushels,"Food, seed, & industrial",Barley,Crops
10,Market year,2019/20,44,Million bushels,Feed & residual,Barley,Crops
11,Market year,2019/20,186,Million bushels,Total use,Barley,Crops
12,Market year,2019/20,6,Million bushels,Exports,Barley,Crops
13,Market year,2019/20,189,Dollars per acre,Net returns,Barley,Crops
14,Market year,2019/20,2.5,Dollars per bushel,Loan rate,Barley,Crops
15,Market year,2019/20,4.69,Dollars per bushel,Farm price,Barley,Crops
16,Market year,2019/20,43.2,Percent,"Stocks/use ratio, percent",Barley,Crops
17,Market year,2019/20,176,Dollars,Variable cost of production (per acre),Barley,Crops
18,Market year,2019/20,2.26,Dollars,Variable cost of production (per bushel),Barley,Crops
19,Market year,2019/20,77.7,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
20,Market year,2019/20,81.3,Million acres,Harvested acres,Corn,Crops
21,Market year,2019/20,89.7,Million acres,Planted acres,Corn,Crops
22,Market year,2019/20,2221,Million bushels,Beginning stocks,Corn,Crops
23,Market year,2019/20,1995,Million bushels,Ending stocks,Corn,Crops
24,Market year,2019/20,42,Million bushels,Imports,Corn,Crops
25,Market year,2019/20,13620,Million bushels,Production,Corn,Crops
26,Market year,2019/20,15883,Million bushels,Total supply,Corn,Crops
27,Market year,2019/20,12109,Million bushels,Domestic use,Corn,Crops
28,Market year,2019/20,4852,Million bushels,Ethanol and by-products,Corn,Crops
29,Market year,2019/20,6282,Million bushels,"Food, seed, & industrial",Corn,Crops
30,Market year,2019/20,5827,Million bushels,Feed & residual,Corn,Crops
31,Market year,2019/20,13887,Million bushels,Total use,Corn,Crops
32,Market year,2019/20,1778,Million bushels,Exports,Corn,Crops
33,Market year,2019/20,257,Dollars per acre,Net returns,Corn,Crops
34,Market year,2019/20,1.95,Dollars per bushel,Loan rate,Corn,Crops
35,Market year,2019/20,3.56,Dollars per bushel,Farm price,Corn,Crops
36,Market year,2019/20,14.4,Percent,"Stocks/use ratio, percent",Corn,Crops
37,Market year,2019/20,339,Dollars,Variable cost of production (per acre),Corn,Crops
